locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
MADHUSŪDANASARASVATĪ'S PRASTHĀNABHEDA in	madhusudanasarasvati s prasthanabheda in					no-match	no-match	no curated identity matches this resolved locus			21
VĀYUPURĀṆA.	vayupurana					no-match	no-match	no curated identity matches this resolved locus			20
GṚHYASAM̃GRAHAPARIŚIṢTA	grhyasamgrahaparisista					no-match	no-match	no curated identity matches this resolved locus			20
GAUḌAPĀDA	gaudapada					no-match	no-match	no curated identity matches this resolved locus			19
BURNOUF, Intr.	burnouf intr					no-match	no-match	no curated identity matches this resolved locus			18
SĀMAVEDA. Die Hymnen des SĀMA-VEDA	samaveda die hymnen des sama veda					no-match	no-match	no curated identity matches this resolved locus			18
NṚSIṂHATĀPANĪYOPANIṢAD ? [Cologne Additi	nrsimhatapaniyopanisad cologne additi	nrsimhatapaniyopanisad cologne additi				hand:disputed	seed	H4016 hand-checked seed call (hand:disputed)			18
ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Ant	sihlana s santisataka in haeberlin s ant					no-match	no-match	no curated identity matches this resolved locus			18
MITĀKṢARĀ	mitaksara					no-match	no-match	no curated identity matches this resolved locus			18
MATSYAPURĀṆA.	matsyapurana					no-match	no-match	no curated identity matches this resolved locus			17
MAHĪDHARA	mahidhara					no-match	no-match	no curated identity matches this resolved locus			17
AITAREYOPANIṢAD	aitareyopanisad					no-match	no-match	no curated identity matches this resolved locus			17
ŚĀNTANĀCĀRYA'S PHIṬSŪTRĀṆI in BÖHTLINGK	santanacarya s phitsutrani in bohtlingk					no-match	no-match	no curated identity matches this resolved locus			17
BHĀVAPRAKĀŚA	bhavaprakasa	bhavaprakasa	Bhāvaprakāśa	late-medieval	16th c. CE (c. 1550-1600)	dharmamitra	canon_dm	DM anchor: 16th c. CE (c. 1550-1600; Bhāvamiśra)		net-new (no seed call)	16
CĀṆAKYA in HAEB. Chrest. S.	canakya in haeb chrest s					no-match	no-match	no curated identity matches this resolved locus			16
HEMACANDRA ? [Cologne Addition]	hemacandra cologne addition					no-match	no-match	no curated identity matches this resolved locus			16
GAṆITĀDHYĀYA? [Cologne Addition]	ganitadhyaya cologne addition					no-match	no-match	no curated identity matches this resolved locus			15
Asiatick Researches; or	asiatick researches or					no-match	no-match	no curated identity matches this resolved locus			15
MUDRĀRĀKṢASA	mudraraksasa	mudraraksasa	Mudrārākṣasa			hand:disputed	hand	Viśākhadatta: dating contested (c. 4th-8th c. proposals) — never forced		net-new canon text (no seed call)	15
ŚṚṄGĀRATILAKA	srngaratilaka					no-match	no-match	no curated identity matches this resolved locus			14
BĀLABODHANĪ in WINDISCHMANN'S Sancara (G	balabodhani in windischmann s sancara g					no-match	no-match	no curated identity matches this resolved locus			14
FRID. H. H. WINDISCHMANNI Sancara sive d	frid h h windischmanni sancara sive d					no-match	no-match	no curated identity matches this resolved locus			13
LOISELEUR DESLONGCHAMPS.	loiseleur deslongchamps	loiseleur deslongchamps				modern-ref	seed	H4016 hand-checked seed call (modern-ref)			13
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			13
MATSYOPĀKHYĀNA	matsyopakhyana					no-match	no-match	no curated identity matches this resolved locus			13
VEDĀNTASĀRA	vedantasara					no-match	no-match	no curated identity matches this resolved locus			12
PARIŚIṢṬA des ATHARVAVEDA.	parisista des atharvaveda					no-match	no-match	no curated identity matches this resolved locus			11
STENZLER.	stenzler					no-match	no-match	no curated identity matches this resolved locus			11
KUVALAYĀNANDA (Rhetorik) von APYADĪKṢITA	kuvalayananda rhetorik von apyadiksita					no-match	no-match	no curated identity matches this resolved locus			11
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			11
CHANDOMAÑJARĪ	chandomanjari					no-match	no-match	no curated identity matches this resolved locus			11
KOṢṬHĪPRADĪPA	kosthipradipa					no-match	no-match	no curated identity matches this resolved locus			10
DEVĪPURĀṆA; nach Anführungen im ŚKDR.	devipurana nach anfuhrungen im skdr					no-match	no-match	no curated identity matches this resolved locus			10
Akademische Vorlesungen über Indische Li	akademische vorlesungen uber indische li					no-match	no-match	no curated identity matches this resolved locus			10
KENOPANIṢAD in der Bibliotheca indica.	kenopanisad in der bibliotheca indica					no-match	no-match	no curated identity matches this resolved locus			10
ĀPASTAMBA.	apastamba					no-match	no-match	no curated identity matches this resolved locus			9
DEVĪMĀHĀTMYA	devimahatmya					no-match	no-match	no curated identity matches this resolved locus			9
SIDDHĀNTAŚIROMAṆI	siddhantasiromani					no-match	no-match	no curated identity matches this resolved locus			9
Commentary on the Hindu System of Medici	commentary on the hindu system of medici					no-match	no-match	no curated identity matches this resolved locus			9
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			8
ĪŚOPANIṢAD in der Bibliotheca indica.	isopanisad in der bibliotheca indica					no-match	no-match	no curated identity matches this resolved locus			8
AUṢ.	aus					no-match	no-match	no curated identity matches this resolved locus			8
RATNĀVALĪ	ratnavali					no-match	no-match	no curated identity matches this resolved locus			8
TITHYĀDITATTVA; nach Anführungen im ŚKDR	tithyaditattva nach anfuhrungen im skdr					no-match	no-match	no curated identity matches this resolved locus			8
ADBHUTABRĀHMAṆA.	adbhutabrahmana					no-match	no-match	no curated identity matches this resolved locus			8
KĀLIKĀPURĀṆA	kalikapurana					no-match	no-match	no curated identity matches this resolved locus			8
VARĀHAMIHIRA'S LAGHUJĀTAKA. [Cologne Add	varahamihira s laghujataka cologne add					no-match	no-match	no curated identity matches this resolved locus			8
SOM. NALA	som nala					no-match	no-match	no curated identity matches this resolved locus			8
PRAVARĀDHYĀYA.	pravaradhyaya					no-match	no-match	no curated identity matches this resolved locus			8
BALLANTYNE ? [Cologne Addition]	ballantyne cologne addition					no-match	no-match	no curated identity matches this resolved locus			8
VṚDDHACĀṆAKYA ? [Cologne Addition]	vrddhacanakya cologne addition					no-match	no-match	no curated identity matches this resolved locus			8
UPALEKHA de KRAMAPĀṬHA libellus. Ed. G.	upalekha de kramapatha libellus ed g					no-match	no-match	no curated identity matches this resolved locus			8
Materia indica ? [Cologne Addition]	materia indica cologne addition					no-match	no-match	no curated identity matches this resolved locus			7
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			7
GAṆITĀDHYĀYA ? [Cologne Addition]	ganitadhyaya cologne addition					no-match	no-match	no curated identity matches this resolved locus			7
PADMAPURĀṆA ? [Cologne Addition]	padmapurana cologne addition					no-match	no-match	no curated identity matches this resolved locus			7
HAEB. Anth.= ? [Cologne Addition]	haeb anth cologne addition					no-match	no-match	no curated identity matches this resolved locus			7
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			7
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			7
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			6
NĀNĀRTHADHVANIMAÑJARĪ [Cologne Addition]	nanarthadhvanimanjari cologne addition					no-match	no-match	no curated identity matches this resolved locus			6
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			6
SKANDAPURĀṆA.	skandapurana					no-match	no-match	no curated identity matches this resolved locus			6
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			6
KAIYAṬA	kaiyata					no-match	no-match	no curated identity matches this resolved locus			6
ITIHĀSA.	itihasa					no-match	no-match	no curated identity matches this resolved locus			6
Bibliothecae sanskritae sive recensus li	bibliothecae sanskritae sive recensus li					no-match	no-match	no curated identity matches this resolved locus			6
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			6
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			6
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			6
BRAHMAVAIVARTAPURĀṆA? [Cologne Addition]	brahmavaivartapurana cologne addition					no-match	no-match	no curated identity matches this resolved locus			6
KĀŚĪKHAṆḌA	kasikhanda					no-match	no-match	no curated identity matches this resolved locus			6
PRĀTIŚĀKHYA zur TAITTIRĪYASAM̃HITĀ. S. R	pratisakhya zur taittiriyasamhita s r					no-match	no-match	no curated identity matches this resolved locus			6
JYOTIṢA.	jyotisa					no-match	no-match	no curated identity matches this resolved locus			6
SAṂSKĀRAKAUSTUBHA von ANANTADEVA. Lith.	samskarakaustubha von anantadeva lith					no-match	no-match	no curated identity matches this resolved locus			6
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
Gedicht vom Vogel Cātaka in der Zeitschr	gedicht vom vogel cataka in der zeitschr					no-match	no-match	no curated identity matches this resolved locus			5
REINAUD, Mém. sur lʼInde	reinaud mem sur l inde					no-match	no-match	no curated identity matches this resolved locus			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb 180, N.	visnupurana es wird die wilson sche ueb 180 n					no-match	no-match	no curated identity matches this resolved locus			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
11,a, N.	11 a n					no-match	no-match	no curated identity matches this resolved locus			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			5
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
MĀNAVA-KALPA-SŪTRA; being a portion of t	manava kalpa sutra being a portion of t					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
ed. Calc.	ed calc	ed calc				edition-siglum	seed	H4016 hand-checked seed call (edition-siglum)			4
NĀṬYAŚĀSTRA ? [Cologne Addition]	natyasastra cologne addition					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
414, Śl.	1 sl					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
BHAVIṢYAPURĀṆA ? [Cologne Addition]	bhavisyapurana cologne addition					no-match	no-match	no curated identity matches this resolved locus			4
GAUḌAPĀDA'S Kārikā zur MĀṆḌ. UP. in der	gaudapada s karika zur mand up in der					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
BHĀNUDĪKṢITA	bhanudiksita					no-match	no-match	no curated identity matches this resolved locus			4
VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb 121, N.	visnupurana es wird die wilson sche ueb 121 n					no-match	no-match	no curated identity matches this resolved locus			4
RĀJAVALLABHA	rajavallabha					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
Zur Literatur und Geschichte des Weda. D	zur literatur und geschichte des weda d					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
GĀRUḌA-PURĀṆA ? [Cologne Addition]	garuda purana cologne addition					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
LIṄGAPURĀṆA.	lingapurana					no-match	no-match	no curated identity matches this resolved locus			4
312,a, No.	312 a no					no-match	no-match	no curated identity matches this resolved locus			4
VYAVAHĀRATATTVA	vyavaharatattva					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
HORĀŚĀSTRA.	horasastra					no-match	no-match	no curated identity matches this resolved locus			4
A Dictionary Bengali and Sanskrit	a dictionary bengali and sanskrit					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
Zeitschrift für vergleichende Sprachfors	zeitschrift fur vergleichende sprachfors					no-match	no-match	no curated identity matches this resolved locus			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			4
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			3
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			3
DĀYABHĀGA	dayabhaga	dayabhaga	Dāyabhāga	early-medieval	c. 12th c.	hand:class	hand	Jimūtavāhana's Dāyabhāga, c. 12th c. (standard dating)		net-new canon text (no seed call)	3
